theta_rec,phi_rec,t_rec
0.2113769,90,4.4
0.2225809,90,4.42
0.2169373,90,4.44
0.2204046,90,4.46
0.21733,90,4.48
0.2100232,90,4.5
0.2136054,90,4.52
0.1961758,90,4.54
0.1963618,90,4.56
0.1931722,90,4.58
0.1966,90,4.6
0.1919196,90,4.62
0.1971474,90,4.64
0.2094922,90,4.66
0.198292,90,4.68
0.2085731,90,4.7
0.1963294,90,4.72
0.2194097,90,4.73999999999999
0.1956835,90,4.76
0.2010663,90,4.78
0.1861398,90,4.8
0.1958981,90,4.82
0.1990955,90,4.84
0.2141974,90,4.86
0.2072344,90,4.88
0.2029145,90,4.9
0.2132924,90,4.92
0.2164636,90,4.94
0.2110307,90,4.96
0.2103884,90,4.98
0.203866,90,5
0.2062364,90,5.02
0.2021801,90,5.04
0.2042015,90,5.06
0.2065494,90,5.08
0.2131693,90,5.1
0.2079172,90,5.12
0.2066412,90,5.14
0.1975329,90,5.16
0.1956005,90,5.18
0.1871729,90,5.2
0.1900342,90,5.22
0.1920505,90,5.23999999999999
0.1975772,90,5.26
0.2006485,90,5.28
0.2034104,90,5.3
0.2023373,90,5.32
0.2047031,90,5.34
0.2038703,90,5.36
0.2048006,90,5.38
0.1987867,90,5.4
0.2038152,90,5.42
0.2042584,90,5.44
0.2057581,90,5.46
0.2050426,90,5.48
0.2069669,90,5.5
0.2018957,90,5.52
0.2028372,90,5.54
0.2091124,90,5.56
0.2070384,90,5.58
0.2167628,90,5.6
0.2364378,90,5.62
0.2668316,90,5.64
0.1047812,90,5.66
-0.07269788,90,5.68
-0.1575344,90,5.7
-0.08429527,90,5.72
0.01022291,90,5.73999999999999
0.1108596,90,5.76
0.1258118,90,5.78
0.08381653,90,5.8
0.03159809,90,5.82
0.02178168,90,5.84
0.01361609,90,5.86
0.02717662,90,5.88
0.05464959,90,5.9
0.0708437,90,5.92
0.07899547,90,5.94
0.08113289,90,5.96
0.07704425,90,5.98
0.0693655,90,6
0.06787753,90,6.02
0.06899786,90,6.04
0.0679214,90,6.06
0.08544755,90,6.08
0.09635901,90,6.1
0.1001894,90,6.12
0.09259915,90,6.14
0.08504868,90,6.16
0.0909431,90,6.18
0.09067369,90,6.2
0.09144449,90,6.22
0.09890056,90,6.23999999999999
0.1033561,90,6.26
0.1046865,90,6.28
0.1056082,90,6.3
0.1068676,90,6.32
0.1078463,90,6.34
0.1100063,90,6.36
0.1094093,90,6.38
0.1123123,90,6.4
0.1160724,90,6.42
0.1211469,90,6.44
0.1214283,90,6.46
0.1279266,90,6.48
0.1293056,90,6.5
0.1279995,90,6.52
0.132668,90,6.54
0.1390934,90,6.56
0.138042,90,6.58
0.1383467,90,6.6
0.136379,90,6.62
0.1389346,90,6.64
0.1394408,90,6.66
0.1438966,90,6.68
0.1436954,90,6.7
0.1444135,90,6.72
0.1440103,90,6.73999999999999
0.1417017,90,6.76
0.1430128,90,6.78
0.1440074,90,6.8
0.1435392,90,6.82
0.1419044,90,6.84
0.1382725,90,6.86
0.1420839,90,6.88
0.1390278,90,6.9
0.13152,90,6.92
0.1387584,90,6.94
0.1337636,90,6.96
0.1518364,90,6.98
0.1392136,90,7
0.1589813,90,7.02
0.1485164,90,7.04
0.1627331,90,7.06
0.1518264,90,7.08
0.1600342,90,7.1
0.1527672,90,7.12
0.1569879,90,7.14
0.1491392,90,7.16
0.1596873,90,7.18
0.1549704,90,7.2
0.1638174,90,7.22
0.157707,90,7.23999999999999
0.169764,90,7.26
0.1720836,90,7.28
0.1758955,90,7.3
0.1697943,90,7.32
0.1669741,90,7.34
0.1632781,90,7.36
0.1678033,90,7.38
0.1620562,90,7.4
0.1726313,90,7.42
0.1709163,90,7.44
0.1763713,90,7.46
0.174782,90,7.48
0.177501,90,7.5
0.1764426,90,7.52
0.1763794,90,7.54
0.1754236,90,7.56
0.1850688,90,7.58
0.1649535,90,7.6
0.1852269,90,7.62
0.1842201,90,7.64
0.1945126,90,7.66
0.1690023,90,7.68
0.1753685,90,7.7
0.1779861,90,7.72
0.180418,90,7.73999999999999
0.1670351,90,7.76
0.1870658,90,7.78
0.1823173,90,7.8
0.1990125,90,7.82
0.1843386,90,7.84
0.1954181,90,7.86
0.1942229,90,7.88
0.1936929,90,7.9
